frame,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms
298,6.8002,6.3270,0.0364,0.1654,6.6478
299,6.7039,6.4448,0.0261,0.2200,6.7902
300,6.8394,6.5376,0.0287,0.2122,6.8742
301,6.9173,6.5963,0.0276,0.2371,6.9558
302,6.9988,6.7905,0.0290,0.0850,7.0090
303,7.0527,6.5305,0.0225,0.2120,6.8581
304,6.8998,6.5625,0.0238,0.2114,6.8843
305,6.9357,6.8039,0.0353,0.0970,7.0445
306,7.1142,6.7053,0.0283,0.0886,6.9247
307,6.9886,6.4519,0.0285,0.2390,6.8306
308,6.9463,6.4351,0.0367,0.1784,6.7645
309,6.8140,6.4745,0.0338,0.1859,6.8089
310,6.9027,6.4642,0.0255,0.2060,6.7931
311,6.8334,6.7135,0.0268,0.2155,7.0545
312,7.0972,6.5701,0.0243,0.2134,6.8987
313,6.9384,6.5948,0.0253,0.2373,6.9566
314,6.9977,6.6140,0.0284,0.2081,6.9487
315,7.0001,6.4987,0.0267,0.2405,6.8695
316,6.9193,6.4659,0.0242,0.3845,6.9804
317,7.0369,6.3267,0.0259,0.2035,6.6510
318,6.6941,6.6631,0.0284,0.2017,6.9869
319,7.0315,6.7330,0.0297,0.0766,6.9374
320,6.9808,6.5139,0.0255,0.3484,6.9789
321,7.0240,6.6706,0.0276,0.0817,6.8944
322,6.9398,6.4948,0.0255,0.2070,6.8189
323,6.8648,6.3940,0.0337,0.1829,6.7328
324,6.7915,6.5018,0.0283,0.1926,6.8289
325,6.8700,6.5911,0.0303,0.2086,6.9313
326,6.9755,6.6605,0.0258,0.2042,6.9822
327,7.0193,6.6116,0.0361,0.2026,6.9559
328,7.0102,6.4505,0.0289,0.2147,6.7969
329,6.8478,6.6746,0.0282,0.2040,7.0017
330,7.0497,6.5450,0.0238,0.2653,6.9430
331,6.9905,6.6726,0.0271,0.0811,6.8840
332,6.9271,6.4534,0.0268,0.2050,6.7773
333,6.8208,6.6196,0.0263,0.2214,6.9757
334,7.0193,6.5051,0.0268,0.1993,6.8234
335,6.8636,6.8214,0.0269,0.0778,7.0303
336,7.0744,6.4774,0.0305,0.1987,6.8000
337,6.9313,6.6045,0.0266,0.2377,6.9695
338,7.0191,7.1751,0.0442,0.2721,7.6230
339,7.7008,5.9662,0.0375,0.1855,6.3136
340,6.3697,6.2008,0.0274,0.2098,6.5470
341,6.5957,6.4516,0.0291,0.2659,6.8401
342,6.8882,6.6445,0.0233,0.1980,6.9561
343,6.9991,7.0132,0.0316,0.0888,7.2608
344,7.3763,6.3661,0.0273,0.3298,6.8279
345,6.8749,6.3779,0.0507,0.2078,6.7716
346,6.8424,6.6118,0.0487,0.1140,6.9470
347,7.0174,6.1389,0.0287,0.1860,6.4741
348,6.5989,6.5969,0.0288,0.3770,7.1038
349,7.1512,6.4676,0.0285,0.2054,6.8105
350,6.8542,6.5736,0.0219,0.1968,6.8978
351,6.9395,6.5345,0.0229,0.2091,6.8734
352,6.9116,6.4821,0.0387,0.1773,6.8372
353,6.9252,6.4385,0.0363,0.2006,6.7996
354,6.8591,6.4695,0.0257,0.1953,6.8096
355,6.8542,6.7329,0.0262,0.1862,7.0562
356,7.0983,6.5589,0.0243,0.1998,6.8867
357,6.9240,6.5776,0.0244,0.1753,6.9009
358,6.9405,6.5593,0.0229,0.2131,6.8877
359,6.9244,6.5956,0.0265,0.1958,6.9266
360,6.9724,6.6163,0.0252,0.1804,6.9398
361,6.9826,6.5155,0.0605,0.0882,6.7964
362,6.8532,6.5619,0.0268,0.1906,6.8895
363,6.9315,6.7912,0.0282,0.0817,7.0077
364,7.0510,6.4871,0.0272,0.2128,6.8320
365,6.8746,6.5104,0.0240,0.3103,6.9505
366,6.9957,6.6633,0.0677,0.1064,6.9764
367,7.0618,6.3509,0.0392,0.1628,6.7281
368,6.8037,6.6128,0.0621,0.0940,6.8961
369,6.9500,6.8085,0.0432,0.1431,7.1236
370,7.1732,6.5217,0.0276,0.1898,6.8434
371,6.8883,6.5040,0.0267,0.1973,6.8232
372,6.8650,6.6086,0.0274,0.3523,7.0947
373,7.1444,6.3063,0.0402,0.1115,6.5959
374,6.6764,6.6140,0.0439,0.1123,6.9136
375,6.9888,6.4005,0.0387,0.1783,6.7648
376,6.8333,6.6795,0.0326,0.1757,7.0191
377,7.0815,6.3009,0.0326,0.1816,6.6432
378,6.7012,6.7045,0.0346,0.1727,7.1304
379,7.2140,6.4874,0.0339,0.1740,6.8853
380,6.9591,6.4809,0.0377,0.1884,6.9113
381,7.0226,7.8169,0.0584,0.1380,8.2639
382,8.3594,5.1739,0.0422,0.1833,5.6473
383,5.7237,5.9777,0.0363,0.1887,6.4147
384,6.4800,6.6688,0.0368,0.1796,7.0666
385,7.1345,6.2670,0.0320,0.1991,6.6739
386,6.7234,6.5932,0.0344,0.1927,6.9918
387,7.1274,6.5739,0.0392,0.1888,6.9828
388,7.0620,6.3851,0.0255,0.1671,6.7544
389,6.8020,6.6055,0.0387,0.1751,7.0126
390,7.1984,6.2799,0.0363,0.1503,6.6558
391,6.9574,6.3191,0.0682,0.1043,6.7159
392,6.8171,6.5074,0.0692,0.1113,6.8882
393,6.9929,6.8595,0.0439,0.1713,7.2765
394,7.4567,5.6546,0.0423,0.1575,6.0652
395,6.1384,6.6251,0.0283,0.1798,7.0125
396,7.0681,6.3041,0.0345,0.1488,6.7081
397,6.7661,6.3543,0.0471,0.1560,6.7323
398,6.7716,6.6860,0.0382,0.1762,7.0941
399,7.1697,6.4986,0.0394,0.1828,6.9074
400,6.9861,6.6993,0.0428,0.1165,7.0592
401,7.1340,6.7204,0.0407,0.1602,7.1197
402,7.2487,6.5728,0.0467,0.1239,6.9703
403,7.0652,6.4230,0.0437,0.1321,6.8048
404,6.8898,6.0976,0.0457,0.1612,6.5092
405,6.5864,6.7516,0.0393,0.1170,7.1167
406,7.1985,6.8631,0.0560,0.1117,7.2694
407,7.4238,6.3911,0.0451,0.1276,6.7624
408,6.8469,6.0286,0.0257,0.2063,6.4171
409,6.4767,6.9784,0.0454,0.1122,7.3704
410,7.4847,5.9823,0.0275,0.3704,6.5404
411,6.5870,6.2140,0.0291,0.1803,6.6101
412,6.6958,6.2703,0.0228,0.2007,6.6930
413,6.7394,6.1747,0.0248,0.1855,6.5591
414,6.6234,6.8192,0.0255,0.1804,7.1821
415,7.2433,6.4719,0.0237,0.2810,6.9365
416,6.9747,6.4772,0.0246,0.2062,6.8599
417,6.8974,6.4515,0.0242,0.1298,6.7897
418,6.8343,6.7074,0.0504,0.2325,7.1497
419,7.1921,6.1901,0.0207,0.1790,6.5405
420,6.6294,6.7136,0.0253,0.2078,7.0508
421,7.0957,6.7799,0.0491,0.1587,7.1288
422,7.1996,6.4224,0.0829,0.1401,6.7825
423,6.9228,6.3360,0.0330,0.1943,6.6889
424,6.7417,7.5857,0.0567,0.2061,8.0368
