frame,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms
157,6.9553,6.5663,0.0258,0.1715,6.8897
158,6.9827,6.8180,0.0350,0.2344,7.1987
159,7.2942,5.9529,0.0587,0.0820,6.2728
160,6.3485,6.5790,0.0343,0.1742,6.8978
161,6.9473,6.5682,0.0264,0.2026,6.8951
162,6.9379,7.0997,0.0258,0.1691,7.4115
163,7.4570,6.1734,0.0628,0.2005,6.5286
164,6.5728,6.6511,0.0263,0.1754,6.9479
165,6.9974,6.5509,0.0273,0.2127,6.9106
166,6.9558,6.9275,0.0266,0.1611,7.2505
167,7.2941,6.2218,0.0252,0.1409,6.5408
168,6.5810,6.5831,0.0306,0.2544,6.9897
169,7.0449,14.1257,0.0543,0.2838,14.6846
170,14.7990,5.4641,0.0508,0.1514,5.7934
171,5.8435,6.8197,0.0779,0.1430,7.1709
172,7.2478,6.4041,0.0237,0.2563,6.8317
173,6.8942,6.4599,0.0240,0.2082,6.7964
174,6.8427,6.8058,0.0262,0.1058,7.0452
175,7.0894,6.4281,0.0235,0.2709,6.8216
176,6.8817,6.5931,0.0241,0.1636,6.9024
177,6.9446,6.9188,0.6264,0.2562,7.9497
178,8.0297,5.2982,0.0617,0.1186,5.5773
179,5.6188,6.7711,0.0254,0.0846,6.9933
180,7.0624,6.3792,0.0480,0.3031,6.8356
181,6.8967,6.9761,0.0235,0.1583,7.2835
182,7.3221,6.2334,0.0242,0.1314,6.5519
183,6.5908,6.8385,0.0273,0.0855,7.0679
184,7.1398,6.4725,0.0266,0.0731,6.7574
185,6.7937,7.5270,0.0373,0.1233,7.8024
186,7.8709,5.8944,0.0382,0.5113,6.5878
187,6.6672,6.1230,0.0631,0.2233,6.5614
188,6.6713,6.2221,0.0413,0.1792,6.5832
189,6.6795,6.7540,0.0404,0.1126,7.0435
190,7.1208,6.4592,0.0394,0.1143,6.7753
191,6.8793,6.3516,0.0307,0.3021,6.7890
192,6.8630,6.0857,0.0278,0.1534,6.3789
193,6.4392,6.5538,0.0233,0.1889,6.8683
194,6.9102,6.5720,0.0325,0.1821,6.8944
195,6.9378,6.6261,0.0273,0.1739,6.9375
