frame,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms
172,5.7496,0.0137,1.0399,0.0703,1.2109
173,1.2565,0.0154,5.4789,0.0794,5.6656
174,5.7051,0.0190,0.9846,0.0501,1.1675
175,1.1962,0.0121,5.6190,0.0708,5.7829
176,5.8204,0.0174,1.1258,0.0622,1.3108
177,1.3523,0.0118,5.2489,0.0977,5.4691
178,5.5286,0.0203,0.8808,0.0857,1.1798
179,1.2194,0.0170,5.5435,0.1034,5.7486
180,5.7866,0.0191,1.0182,0.0562,1.1924
181,1.2227,0.0123,5.4154,0.0826,5.5969
182,5.6397,0.0161,1.0020,0.0480,1.1527
183,1.1813,0.0106,5.5242,0.1029,5.7274
184,5.7850,0.0134,1.0626,0.0802,1.2515
185,1.3055,0.0178,5.3561,0.0908,5.5757
186,5.6214,0.0175,0.9928,0.0435,1.1352
187,1.1614,0.0103,5.4626,0.0757,5.6349
188,5.6733,0.0171,1.0174,0.0519,1.1733
189,1.2402,0.0149,5.6515,0.0616,5.8099
190,5.8469,0.0878,1.0181,0.0640,1.3053
191,1.3460,0.0143,5.2187,0.0588,5.3680
192,5.3941,0.0115,1.1005,0.0579,1.2444
193,1.2728,0.0107,5.5411,0.0659,5.7055
194,5.7662,0.0255,1.0765,0.0537,1.2434
195,1.2787,0.0115,5.5163,0.0690,5.6788
196,5.7190,0.0172,1.0106,0.0465,1.1578
197,1.1857,0.0111,5.4866,0.0718,5.6479
198,5.7519,0.0249,0.9525,0.0808,1.1553
199,1.1973,0.0168,5.4987,0.0927,5.6952
200,5.8109,0.0242,0.9310,0.0830,1.1380
201,1.2167,0.0158,5.4074,0.0697,5.6057
202,5.6579,0.0171,1.0031,0.0813,1.1910
203,1.2280,0.0134,5.4980,0.0660,5.6619
204,5.7150,0.0249,0.9888,0.0883,1.2071
205,1.2495,0.0170,5.4351,0.0954,5.6323
206,5.6696,0.0177,0.9921,0.0837,1.1912
207,1.2321,0.0165,5.5156,0.0706,5.6885
208,5.7380,0.0171,1.1221,0.0671,1.2998
209,1.3428,0.0186,5.5268,0.0818,5.7273
210,5.7685,0.0182,1.0617,0.0627,1.3206
211,1.3629,0.0157,5.2316,0.0854,5.4420
212,5.5060,0.0153,0.9796,0.0641,1.1663
213,1.2104,0.0127,5.4236,0.0927,5.6238
214,5.6699,0.0180,0.9828,0.0496,1.1369
215,1.1688,0.0116,5.5390,0.0653,5.6874
216,5.7961,0.0230,0.9912,0.1531,1.2582
217,1.3006,0.0163,5.3658,0.0702,5.5755
218,5.6420,0.0227,0.9679,0.0597,1.1432
219,1.1809,0.0113,5.5267,0.0519,5.6647
220,5.6894,0.0098,1.0944,0.0750,1.2661
221,1.3079,0.0157,5.4433,0.1186,5.6704
222,5.7352,0.0199,0.9320,0.0707,1.1383
223,1.1831,0.0156,5.4225,0.0451,5.5671
224,5.5953,0.0097,1.0605,0.0451,1.1798
225,1.2056,0.0089,5.5612,0.0558,5.7019
226,5.7495,0.0128,1.0542,0.0864,1.2368
227,1.2807,0.0159,5.5647,0.1195,5.8012
228,5.8909,0.0250,0.8747,0.0925,1.2280
229,1.3157,0.0230,5.5505,0.2001,5.9478
230,6.0597,0.0320,0.8190,0.1489,1.1834
231,1.3366,0.0210,4.8156,0.1396,5.1013
232,5.2134,0.0243,0.8775,0.0795,1.0971
233,1.1469,0.0299,5.3700,0.0857,5.6103
234,5.6875,0.0261,0.9525,0.0631,1.1645
235,1.2090,0.0131,5.4209,0.0761,5.6062
236,5.6592,0.0137,1.0075,0.0971,1.2315
237,1.3001,0.0210,5.4666,0.1030,5.7252
238,5.8918,0.0193,0.8631,0.0734,1.1716
239,1.2218,0.0201,5.2779,0.1237,5.5462
240,5.7352,0.0298,0.8067,0.0652,1.0208
241,1.0623,0.0123,5.4591,0.0961,5.6772
242,5.7415,0.0142,1.0057,0.1172,1.2518
243,1.3448,0.0207,6.6933,0.1810,7.0480
244,7.1676,0.0349,0.7291,0.0711,1.0050
245,1.0603,0.0149,4.4983,0.1129,4.7362
246,4.8102,0.0254,0.9242,0.0881,1.1570
247,1.2146,0.0196,4.8919,0.1333,5.1698
248,5.2295,0.0238,0.9582,0.0925,1.1829
249,1.3668,0.0276,5.5113,0.0797,5.7482
250,5.8132,0.0169,0.9825,0.0543,1.1478
251,1.1877,0.0157,5.2406,0.0776,5.4198
252,5.4791,0.0259,0.9709,0.0530,1.1367
253,1.1745,0.0112,5.4644,0.0961,5.6706
254,5.7546,0.0792,0.9257,0.0727,1.1960
255,1.2588,0.0207,5.3512,0.0718,5.5898
256,5.6510,0.0161,0.9306,0.0809,1.1919
257,1.2417,0.0136,5.4795,0.0803,5.6759
258,5.7382,0.0251,1.0315,0.0640,1.2844
259,1.3712,0.0280,5.2959,0.0848,5.5245
260,5.5808,0.0152,1.0724,0.1171,1.3029
261,1.3584,0.0204,5.2965,0.0777,5.5158
262,5.5863,0.0157,1.0339,0.0582,1.2088
263,1.2489,0.0120,5.3997,0.0807,5.5920
264,5.6507,0.0153,0.9961,0.0544,1.1524
265,1.1856,0.0139,5.6182,0.0980,5.8314
266,5.8807,0.0280,0.9830,0.0973,1.2380
267,1.3002,0.0199,5.2161,0.0809,5.4636
268,5.5295,0.0206,0.9391,0.0781,1.2048
269,1.2493,0.0153,5.5239,0.1954,5.8495
270,5.9363,0.0313,0.8293,0.0902,1.1757
271,1.2690,0.0272,5.0896,0.0930,5.3888
272,5.4633,0.0261,0.9480,0.0756,1.1716
273,1.2157,0.0147,5.4847,0.1109,5.7262
274,5.8506,0.0234,0.9270,0.0994,1.1560
