timestamp, pstate, clocks.current.graphics [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active
2026/09/25 16:10:40.830, P0, 1822 MHz, 53.85 W, 80, 0x0000000000000020
2026/09/25 16:10:41.093, P0, 1530 MHz, 52.57 W, 80, 0x0000000000000020
2026/09/25 16:10:41.358, P0, 1530 MHz, 52.57 W, 80, 0x0000000000000020
2026/09/25 16:10:41.623, P0, 1530 MHz, 47.78 W, 79, 0x0000000000000020
2026/09/25 16:10:41.875, P0, 1530 MHz, 47.78 W, 79, 0x0000000000000020
2026/09/25 16:10:42.125, P0, 1770 MHz, 51.30 W, 79, 0x0000000000000020
2026/09/25 16:10:42.377, P0, 1770 MHz, 51.30 W, 79, 0x0000000000000020
2026/09/25 16:10:42.640, P0, 1950 MHz, 47.78 W, 79, 0x0000000000000020
2026/09/25 16:10:42.891, P0, 1950 MHz, 47.78 W, 79, 0x0000000000000020
2026/09/25 16:10:43.143, P0, 1845 MHz, 47.80 W, 79, 0x0000000000000020
2026/09/25 16:10:43.405, P0, 1845 MHz, 47.80 W, 79, 0x0000000000000020
2026/09/25 16:10:43.670, P0, 1612 MHz, 56.51 W, 80, 0x0000000000000020
2026/09/25 16:10:43.935, P0, 1612 MHz, 56.51 W, 80, 0x0000000000000020
2026/09/25 16:10:44.186, P0, 1605 MHz, 51.87 W, 80, 0x0000000000000020
2026/09/25 16:10:44.452, P0, 1605 MHz, 51.87 W, 80, 0x0000000000000020
2026/09/25 16:10:44.714, P0, 1612 MHz, 51.83 W, 80, 0x0000000000000020
2026/09/25 16:10:44.965, P0, 1612 MHz, 51.83 W, 80, 0x0000000000000020
2026/09/25 16:10:45.216, P0, 1582 MHz, 52.42 W, 80, 0x0000000000000020
2026/09/25 16:10:45.479, P0, 1582 MHz, 52.42 W, 80, 0x0000000000000020
2026/09/25 16:10:45.742, P0, 1575 MHz, 52.09 W, 80, 0x0000000000000020
2026/09/25 16:10:45.992, P0, 1575 MHz, 52.09 W, 80, 0x0000000000000020
2026/09/25 16:10:46.257, P0, 1552 MHz, 52.29 W, 80, 0x0000000000000020
2026/09/25 16:10:46.508, P0, 1552 MHz, 52.29 W, 80, 0x0000000000000020
2026/09/25 16:10:46.758, P0, 1597 MHz, 51.87 W, 80, 0x0000000000000020
2026/09/25 16:10:47.022, P0, 1597 MHz, 51.87 W, 80, 0x0000000000000020
2026/09/25 16:10:47.286, P0, 1597 MHz, 51.13 W, 80, 0x0000000000000020
2026/09/25 16:10:47.550, P0, 1597 MHz, 51.13 W, 80, 0x0000000000000020
2026/09/25 16:10:47.815, P0, 1582 MHz, 52.40 W, 80, 0x0000000000000020
2026/09/25 16:10:48.079, P0, 1582 MHz, 52.40 W, 80, 0x0000000000000020
2026/09/25 16:10:48.342, P0, 1590 MHz, 52.39 W, 80, 0x0000000000000020
2026/09/25 16:10:48.605, P0, 1597 MHz, 52.34 W, 80, 0x0000000000000020
2026/09/25 16:10:48.869, P0, 1597 MHz, 52.34 W, 80, 0x0000000000000020
2026/09/25 16:10:49.134, P0, 1642 MHz, 51.89 W, 80, 0x0000000000000020
2026/09/25 16:10:49.399, P0, 1642 MHz, 51.89 W, 80, 0x0000000000000020
2026/09/25 16:10:49.665, P0, 1740 MHz, 50.32 W, 79, 0x0000000000000020
2026/09/25 16:10:49.927, P0, 1740 MHz, 50.32 W, 79, 0x0000000000000020
2026/09/25 16:10:50.192, P0, 1860 MHz, 49.24 W, 79, 0x0000000000000020
2026/09/25 16:10:50.453, P0, 1860 MHz, 49.24 W, 79, 0x0000000000000020
2026/09/25 16:10:50.719, P0, 1770 MHz, 49.50 W, 79, 0x0000000000000020
