timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 08:47:27.162, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.07 W, 0x0000000000000001
2026/09/24 08:47:27.413, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.07 W, 0x0000000000000001
2026/09/24 08:47:27.672, P0, 1740 MHz, 6101 MHz, 23 %, 75, 23.15 W, 0x0000000000000001
2026/09/24 08:47:27.924, P0, 1740 MHz, 6101 MHz, 23 %, 75, 23.15 W, 0x0000000000000001
2026/09/24 08:47:28.178, P0, 1740 MHz, 6101 MHz, 23 %, 75, 23.13 W, 0x0000000000000001
2026/09/24 08:47:28.433, P0, 1740 MHz, 6101 MHz, 23 %, 75, 23.13 W, 0x0000000000000001
2026/09/24 08:47:28.683, P0, 1740 MHz, 6101 MHz, 21 %, 75, 23.11 W, 0x0000000000000001
2026/09/24 08:47:28.938, P0, 1740 MHz, 6101 MHz, 21 %, 75, 23.11 W, 0x0000000000000001
2026/09/24 08:47:29.197, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.22 W, 0x0000000000000001
2026/09/24 08:47:29.452, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.22 W, 0x0000000000000001
2026/09/24 08:47:29.703, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.34 W, 0x0000000000000001
2026/09/24 08:47:29.958, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.34 W, 0x0000000000000001
2026/09/24 08:47:30.222, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.17 W, 0x0000000000000001
2026/09/24 08:47:30.482, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.17 W, 0x0000000000000001
2026/09/24 08:47:30.734, P0, 1740 MHz, 6101 MHz, 21 %, 75, 22.96 W, 0x0000000000000001
2026/09/24 08:47:30.988, P0, 1740 MHz, 6101 MHz, 21 %, 75, 22.96 W, 0x0000000000000001
2026/09/24 08:47:31.250, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.08 W, 0x0000000000000001
2026/09/24 08:47:31.501, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.08 W, 0x0000000000000001
2026/09/24 08:47:31.757, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.11 W, 0x0000000000000001
2026/09/24 08:47:32.008, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.11 W, 0x0000000000000001
2026/09/24 08:47:32.260, P0, 1740 MHz, 6101 MHz, 21 %, 75, 22.66 W, 0x0000000000000001
2026/09/24 08:47:32.523, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.06 W, 0x0000000000000001
2026/09/24 08:47:32.778, P0, 1740 MHz, 6101 MHz, 22 %, 75, 23.06 W, 0x0000000000000001
2026/09/24 08:47:33.039, P0, 1740 MHz, 6101 MHz, 21 %, 75, 23.26 W, 0x0000000000000001
2026/09/24 08:47:33.293, P0, 1740 MHz, 6101 MHz, 21 %, 75, 23.26 W, 0x0000000000000001
2026/09/24 08:47:33.545, P0, 1740 MHz, 6101 MHz, 20 %, 75, 22.98 W, 0x0000000000000001
