# start_unix_ms 1790232381350
frame,at_ms,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
137,497.388,1.3551,0.0217,5.2122,0.1040,5.4840,0.6512,0.1106
138,503.005,5.6172,0.0453,1.0088,0.1539,1.3296,0.8345,0.1126
139,504.408,1.4026,0.0356,5.2746,0.1544,5.7464,0.6488,0.1106
140,510.367,5.9587,0.0571,0.5769,0.1976,1.1406,0.8308,0.1126
141,511.609,1.2418,0.0744,4.8829,0.1086,5.4707,0.6491,0.1116
142,517.296,5.6873,0.1245,0.4752,0.0791,1.0067,0.2350,0.1106
143,518.601,1.3051,0.0817,4.9863,0.2314,5.5814,0.2357,0.1126
144,524.340,5.7387,0.0529,0.8657,0.1541,1.3394,0.2362,0.1116
145,525.810,1.4701,0.0491,4.5767,0.1642,5.1282,0.2361,0.1116
146,531.042,5.2327,0.0335,0.9593,0.1356,1.2831,0.2402,0.1116
147,532.422,1.3795,0.0350,5.0472,0.0800,5.3050,0.2377,0.1116
148,537.788,5.3664,0.0198,1.1200,0.1026,1.3491,0.8299,0.1137
149,539.198,1.4100,0.0174,5.1323,0.0880,5.3581,0.6524,0.1126
150,544.615,5.4162,0.0225,1.1084,0.0695,1.2928,0.8330,0.1126
151,545.945,1.3302,0.0112,5.3845,0.1207,5.6288,0.6524,0.1116
152,551.634,5.6894,0.0235,1.0876,0.1017,1.3165,0.8292,0.1137
153,553.040,1.4060,0.0172,5.1120,0.0718,5.3158,0.6537,0.1116
154,558.402,5.3621,0.0158,1.1626,0.0833,1.3493,0.8332,0.1126
155,559.801,1.3983,0.0165,5.2866,0.0506,5.4473,0.6492,0.1126
156,565.272,5.4713,0.0109,1.2218,0.0694,1.3724,0.8316,0.1126
157,566.677,1.4052,0.0089,5.4761,0.1054,5.6879,0.6488,0.1137
158,572.454,5.7775,0.0235,1.0473,0.0582,1.2286,0.8291,0.1137
159,573.724,1.2696,0.0156,5.3984,0.1120,5.6169,0.6497,0.1116
160,579.393,5.6685,0.0233,1.0847,0.0533,1.2619,0.8300,0.1137
161,580.696,1.3032,0.0136,5.3097,0.1407,5.5829,0.6513,0.1116
162,586.403,5.7074,0.0265,0.9567,0.0781,1.2128,0.8297,0.1126
163,587.678,1.2747,0.0189,5.1536,0.1095,5.3758,0.6492,0.1116
164,593.098,5.4201,0.0246,1.1128,0.0620,1.3020,0.8299,0.1137
165,594.446,1.3477,0.0186,5.7591,0.0835,5.9911,0.6502,0.1126
166,600.506,6.0605,0.0243,0.9704,0.0711,1.2157,0.8290,0.1147
167,601.768,1.2619,0.0146,5.4151,0.0912,5.6436,0.6502,0.1116
168,607.485,5.7164,0.0263,1.2213,0.0855,1.4283,0.5233,0.1116
169,608.965,1.4800,0.0203,4.8398,0.2324,5.2655,0.2326,0.1137
170,614.634,5.6696,0.0498,0.6530,0.0631,0.9773,0.5275,0.1126
171,615.667,1.0328,0.0202,5.2245,0.1524,5.5154,0.2338,0.1116
172,621.260,5.5926,0.0526,1.0019,0.1312,1.3158,0.5286,0.1126
173,622.692,1.4321,0.0305,5.0372,0.1741,5.4699,0.2343,0.1126
174,628.242,5.5501,0.0272,0.9881,0.0616,1.2042,0.8329,0.1147
175,629.851,1.6090,0.0599,6.2906,0.0915,6.6772,0.2363,0.1126
176,636.608,6.7577,0.0254,0.4182,0.0634,0.8244,0.8304,0.1137
177,637.523,0.9143,0.0196,4.0357,0.1180,4.3454,0.2324,0.1126
178,641.958,4.4353,0.0295,1.0470,0.1509,1.4240,0.4354,0.1116
179,643.556,1.5977,0.0608,4.8995,0.1078,5.2530,0.2346,0.1137
180,648.885,5.3288,0.0257,1.1460,0.1170,1.4069,0.8361,0.1126
181,650.386,1.5011,0.0251,5.1503,0.1091,5.4866,0.2319,0.1116
182,656.032,5.6462,0.0345,1.0732,0.1001,1.3527,0.8302,0.1147
183,657.481,1.4487,0.0235,5.0484,0.1102,5.3849,0.6512,0.1126
184,663.005,5.5250,0.0351,0.9227,0.1547,1.2912,0.8290,0.1147
185,664.394,1.3883,0.0653,6.2728,0.1214,6.7468,0.6504,0.1126
186,671.269,6.8754,0.0350,0.9207,0.0851,1.2430,0.8318,0.1147
187,672.601,1.3323,0.0231,4.0208,0.5117,4.7275,0.2344,0.1137
188,677.405,4.8039,0.0303,0.6984,0.0844,0.9614,0.5160,0.1126
189,678.422,1.0166,0.0198,4.8379,0.1073,5.1003,0.2337,0.1126
190,683.732,5.3102,0.0357,1.0794,0.1352,1.3993,0.2353,0.1126
191,685.235,1.5027,0.0311,4.9977,0.1023,5.2979,0.6521,0.1126
192,690.587,5.3526,0.0170,1.1936,0.1799,1.5570,0.8333,0.1147
193,692.365,1.7775,0.0245,4.7517,0.1608,5.1212,0.6516,0.1137
194,697.570,5.2051,0.0612,0.9937,0.1385,1.3473,0.8325,0.1137
195,699.019,1.4492,0.0794,4.8696,0.1010,5.2776,0.2338,0.1126
196,704.436,5.4167,0.0342,0.9753,0.1262,1.2812,0.8359,0.1137
197,705.821,1.3846,0.0245,5.1467,0.0976,5.4308,0.2345,0.1137
198,711.318,5.4979,0.0190,1.0710,0.0594,1.2572,0.8322,0.1137
199,712.682,1.3632,0.0288,5.2378,0.1140,5.5025,0.6491,0.1126
200,718.269,5.5870,0.0231,1.0504,0.1074,1.3081,0.8306,0.1147
201,719.659,1.3900,0.0244,5.1995,0.1215,5.5514,0.6527,0.1126
202,725.289,5.6308,0.0271,1.0883,0.1494,1.4047,0.8293,0.1137
203,726.828,1.5387,0.0294,4.9809,0.2315,5.4030,0.6514,0.1126
204,732.364,5.5358,0.0400,0.9628,0.1548,1.3221,0.8351,0.1137
205,733.831,1.4674,0.0443,4.9389,0.1126,5.2728,0.6521,0.1126
206,739.249,5.4180,0.0333,0.9423,0.0916,1.2052,0.2356,0.1137
207,740.783,1.5340,0.0387,4.8428,0.1177,5.1743,0.2315,0.1126
208,746.161,5.3772,0.0249,1.0714,0.1094,1.3295,0.8297,0.1147
209,747.588,1.4273,0.0162,5.0618,0.1181,5.3252,0.2378,0.1126
210,753.008,5.4205,0.0279,1.0673,0.1467,1.3640,0.8328,0.1147
211,754.491,1.4826,0.0364,5.0683,0.1063,5.3595,0.6487,0.1137
212,759.922,5.4314,0.0223,1.1186,0.1194,1.4185,0.8322,0.1147
213,761.459,1.5362,0.0731,4.9680,0.1463,5.3998,0.6499,0.1137
214,766.949,5.4908,0.0292,0.9935,0.1220,1.3009,0.8290,0.1157
215,768.517,1.5675,0.0395,4.8952,0.1552,5.2858,0.2344,0.1126
216,773.894,5.3768,0.0284,1.0163,0.1664,1.3851,0.8300,0.1157
217,775.442,1.5483,0.0240,4.9479,0.1695,5.4026,0.2361,0.1147
218,780.955,5.5125,0.0303,0.9728,0.0992,1.2263,0.8318,0.1147
219,782.255,1.3005,0.0287,5.1667,0.1419,5.5178,0.2338,0.1137
220,787.872,5.6174,0.0309,0.9881,0.1136,1.2649,0.8348,0.1157
221,789.232,1.3596,0.0271,5.1109,0.2036,5.5094,0.6500,0.1147
222,794.870,5.6380,0.0293,0.8800,0.0987,1.1783,0.8292,0.1147
223,796.137,1.2669,0.0907,4.9996,0.1332,5.4178,0.6521,0.1147
224,801.630,5.4928,0.0261,1.0667,0.1265,1.3620,0.2353,0.1157
225,803.114,1.4843,0.0391,5.0111,0.1095,5.3285,0.6524,0.1137
226,808.516,5.4019,0.0205,1.1019,0.1082,1.3409,0.8317,0.1157
227,809.950,1.4342,0.0241,5.1835,0.0884,5.4363,0.6524,0.1147
228,815.449,5.4985,0.0157,1.1334,0.0934,1.3456,0.8326,0.1157
229,816.862,1.4131,0.0232,5.1921,0.0979,5.4520,0.6509,0.1147
230,822.442,5.5799,0.0270,0.9917,0.0908,1.2395,0.8283,0.1157
231,823.735,1.2936,0.0182,5.2168,0.0867,5.4228,0.6534,0.1147
232,829.219,5.4835,0.0234,1.0671,0.1245,1.3781,0.8294,0.1157
233,830.680,1.4613,0.0531,5.0864,0.0842,5.4010,0.6540,0.1157
234,836.152,5.4724,0.0202,1.0324,0.0766,1.2737,0.8288,0.1157
235,837.468,1.3155,0.0140,5.3311,0.0696,5.4996,0.6491,0.1157
236,843.045,5.5769,0.0193,1.1007,0.0531,1.2669,0.8292,0.1167
237,844.368,1.3234,0.0116,5.4595,0.1248,5.7011,0.6505,0.1147
238,850.168,5.7993,0.1167,0.9393,0.0798,1.2567,0.8297,0.1167
239,851.537,1.3696,0.0206,5.2748,0.1259,5.5332,0.6484,0.1157
240,857.159,5.6224,0.0231,1.0527,0.0953,1.2957,0.2342,0.1167
241,858.516,1.3567,0.0171,5.2613,0.3603,5.7525,0.6474,0.1157
242,864.442,5.9258,0.0610,0.7382,0.1980,1.2342,0.8294,0.1167
243,865.889,1.4470,0.0845,4.7369,0.1790,5.3131,0.6464,0.1147
244,871.335,5.4457,0.0494,0.8487,0.0878,1.2051,0.2378,0.1167
245,872.627,1.2926,0.0264,4.8267,0.0951,5.0760,0.2318,0.1167
246,877.799,5.1715,0.0344,1.0300,0.0758,1.2539,0.5046,0.1157
247,879.102,1.3037,0.0210,5.5145,0.0593,5.6860,0.2305,0.1167
248,884.842,5.7397,0.0154,1.1391,0.0507,1.2878,0.8268,0.1178
249,886.162,1.3202,0.0123,5.3877,0.0536,5.5335,0.6457,0.1157
250,891.721,5.5588,0.0093,1.1856,0.0410,1.3075,0.8291,0.1167
251,893.051,1.3302,0.0084,5.3235,0.0721,5.4774,0.6459,0.1167
252,898.575,5.5236,0.0167,1.1524,0.0469,1.3002,0.8266,0.1178
253,899.908,1.3332,0.0098,5.5312,0.0592,5.6683,0.6481,0.1178
254,905.605,5.6966,0.0110,1.1782,0.0430,1.3013,0.8243,0.1188
255,906.929,1.3244,0.0087,5.4327,0.0483,5.5786,0.6457,0.1178
256,912.533,5.6039,0.0111,1.1701,0.0439,1.2997,0.8254,0.1198
257,913.879,1.3461,0.0095,5.5021,0.0881,5.6968,0.6474,0.1188
258,919.621,5.7420,0.0197,1.1128,0.0939,1.3315,0.8290,0.1188
259,920.997,1.3755,0.0183,5.0992,0.0742,5.3081,0.6458,0.1178
260,926.345,5.3478,0.0188,1.1640,0.0735,1.3575,0.8265,0.1198
261,927.742,1.3978,0.0162,5.4254,0.0809,5.6106,0.6499,0.1188
262,933.384,5.6417,0.0130,1.1738,0.0689,1.3457,0.8460,0.1198
263,934.769,1.3851,0.0165,5.3650,0.1017,5.5752,0.6444,0.1188
264,940.384,5.6146,0.0157,1.1195,0.0845,1.3089,0.8261,0.1198
265,941.731,1.3476,0.0160,5.1730,0.1826,5.4878,0.6451,0.1188
266,947.259,5.5280,0.0194,0.5427,0.0524,0.7163,0.8261,0.1208
267,948.017,0.7580,0.0150,6.0039,0.0758,6.1857,0.6454,0.1198
268,954.242,6.2245,0.0164,1.0830,0.0877,1.3632,0.7425,0.1198
269,955.657,1.4153,0.0199,11.8993,0.1817,12.2206,0.2331,0.1188
270,968.194,12.5368,0.0545,0.2323,0.0645,0.5402,0.8270,0.1208
271,968.777,0.5832,0.0165,0.6573,0.0545,0.8288,0.6443,0.1208
272,969.635,0.8583,0.0114,5.2977,0.1505,5.5903,0.2355,0.1188
273,975.321,5.6855,0.0267,0.9631,0.0819,1.2209,0.6503,0.1178
274,976.591,1.2702,0.0186,5.1136,0.0565,5.2712,0.2303,0.1198
275,981.899,5.3084,0.0137,1.1522,0.0495,1.2982,0.8329,0.1208
276,983.252,1.3530,0.0123,5.4514,0.0729,5.6305,0.6503,0.1208
277,988.952,5.6991,0.0531,1.0422,0.0792,1.3010,0.8277,0.1219
278,990.312,1.3599,0.0203,5.2509,0.0686,5.4460,0.6496,0.1208
279,995.806,5.4943,0.0163,1.1465,0.0530,1.3225,0.8300,0.1219
280,997.159,1.3527,0.0105,5.4061,0.0796,5.5829,0.6485,0.1208
281,1003.087,5.9282,0.0517,0.7393,0.0729,1.0677,0.8297,0.1219
282,1004.205,1.1181,0.0193,5.8457,0.0715,6.0424,0.6461,0.1208
283,1010.298,6.0933,0.0213,1.0879,0.0458,1.2460,0.2369,0.1229
284,1011.572,1.2738,0.0096,4.9801,0.0483,5.1151,0.6486,0.1229
285,1016.715,5.1427,0.0126,1.2204,0.0456,1.3513,0.5031,0.1229
286,1018.090,1.3753,0.0097,5.3410,0.1007,5.5534,0.2333,0.1219
287,1023.789,5.6996,0.0342,0.9598,0.0600,1.1881,0.8288,0.1239
288,1026.028,2.2383,0.0316,4.3070,0.0965,4.5771,0.6480,0.1229
289,1030.749,4.7210,0.0335,0.9804,0.0563,1.1932,0.8327,0.1239
290,1031.984,1.2351,0.0125,5.3472,0.0975,5.5629,0.2364,0.1229
291,1037.603,5.6196,0.0208,1.1044,0.0833,1.3207,0.8299,0.1249
292,1038.985,1.3813,0.0194,5.3817,0.0991,5.6536,0.6485,0.1229
293,1044.696,5.7112,0.0221,1.1524,0.0952,1.3757,0.8306,0.1249
294,1046.139,1.4427,0.0181,5.0121,0.0812,5.2601,0.6499,0.1239
295,1051.479,5.3406,0.0227,1.1194,0.0599,1.3402,0.8330,0.1249
296,1052.867,1.3873,0.0189,5.2596,0.1723,5.5753,0.6526,0.1239
297,1058.495,5.6288,0.0245,1.0471,0.1322,1.3456,0.8335,0.1260
298,1059.916,1.4201,0.0289,5.0246,0.0847,5.3303,0.6557,0.1249
299,1065.311,5.3957,0.0242,1.1161,0.0562,1.2908,0.8356,0.1260
300,1066.640,1.3287,0.0124,5.3539,0.1454,5.6288,0.6535,0.1260
301,1072.321,5.6815,0.0229,1.0504,0.0808,1.2713,0.8362,0.1270
302,1073.639,1.3174,0.0187,5.5173,0.1212,5.8687,0.6558,0.1260
303,1079.932,6.2934,0.0443,0.5216,0.1331,0.9230,0.8316,0.1280
304,1080.966,1.0342,0.0239,4.9037,0.1071,5.1523,0.6543,0.1270
305,1086.195,5.2284,0.0236,1.0978,0.1161,1.4141,0.2439,0.1280
306,1087.685,1.4901,0.0327,5.0645,0.1474,5.4591,0.2428,0.1280
307,1093.254,5.5692,0.0913,0.9645,0.1386,1.3903,0.6614,0.1290
308,1095.449,2.1945,0.0227,4.4053,0.1082,4.6499,0.6608,0.1280
309,1100.174,4.7254,0.0196,1.1179,0.2246,1.5075,0.8330,0.1290
310,1101.824,1.6498,0.0408,5.1003,0.0822,5.4206,0.2470,0.1280
311,1107.332,5.5085,0.0292,0.9906,0.0740,1.2211,0.8405,0.1300
312,1108.648,1.3160,0.0241,4.9451,0.0851,5.1720,0.2482,0.1300
313,1113.894,5.2455,0.0273,1.1122,0.0978,1.3578,0.5235,0.1300
314,1115.310,1.4164,0.0246,5.3127,0.2153,5.6874,0.2481,0.1300
315,1121.057,5.7471,0.0326,0.9798,0.0701,1.2028,0.8449,0.1300
316,1122.309,1.2520,0.0164,5.8792,0.1594,6.1996,0.6595,0.1300
317,1128.638,6.3282,0.0518,0.9700,0.1305,1.4394,0.8433,0.1311
318,1130.180,1.5423,0.0426,4.4484,0.1868,4.9106,0.6606,0.1311
319,1135.168,4.9878,0.0700,0.8254,0.0871,1.1794,0.4448,0.1290
320,1136.413,1.2455,0.0476,5.1261,0.1052,5.8182,0.2478,0.1300
321,1142.306,5.8926,0.0282,1.1147,0.0593,1.3448,0.5210,0.1290
322,1143.692,1.3864,0.0142,4.7339,0.0965,4.9546,0.2462,0.1311
323,1148.706,5.0141,0.0244,1.0899,0.0686,1.3027,0.5187,0.1300
324,1150.071,1.3646,0.0176,5.3321,0.0889,5.5577,0.2429,0.1300
325,1155.767,5.6958,0.0263,1.0480,0.0962,1.2758,0.8386,0.1311
326,1157.106,1.3397,0.0271,5.1882,0.1282,5.4761,0.6576,0.1290
327,1162.656,5.5498,0.0281,1.0026,0.0713,1.2626,0.8378,0.1300
328,1163.973,1.3171,0.0181,5.1708,0.0836,5.3734,0.6550,0.1290
329,1170.160,6.1867,0.0284,0.0400,0.0527,0.2481,0.8365,0.1300
330,1170.457,0.2969,0.0245,5.8246,0.0813,6.0827,0.6578,0.1300
331,1176.589,6.1318,0.0145,1.1549,0.0553,1.3196,0.2451,0.1300
332,1177.942,1.3538,0.0137,5.1422,0.0598,5.3016,0.6560,0.1290
333,1183.274,5.3318,0.0125,1.2030,0.0536,1.3472,0.8341,0.1300
