# start_unix_ms 1790231668685
frame,at_ms,interval_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
178,1258.758,7.6079,5.9098,0.0296,0.1982,6.2422,0.7500,0.1249
179,1265.057,6.2995,6.6690,0.0298,0.2108,7.0123,0.7492,0.1229
180,1272.130,7.0723,6.3124,0.0267,0.2000,6.6423,0.7425,0.1229
181,1278.824,6.6947,6.7635,0.0379,0.3427,7.2633,0.7401,0.1229
182,1286.153,7.3292,6.4966,0.0304,0.1930,6.8315,0.7426,0.1239
183,1293.048,6.8942,6.6530,0.1185,0.0932,6.9745,0.7422,0.1229
184,1300.086,7.0386,6.3706,0.0281,0.1801,6.6792,0.7399,0.1229
185,1306.819,6.7323,6.4541,0.0357,0.1710,6.7959,0.7404,0.1239
186,1313.683,6.8646,6.5212,0.0379,0.1969,6.8771,0.7416,0.1229
187,1320.637,6.9539,6.6400,0.0251,0.2139,6.9830,0.7418,0.1229
188,1327.721,7.0839,6.5292,0.0253,0.2248,6.8823,0.7407,0.1239
189,1334.654,6.9330,6.6453,0.0303,0.2025,6.9941,0.7494,0.1239
190,1341.703,7.0493,6.5696,0.0380,0.2162,6.9573,0.7419,0.1239
191,1348.729,7.0259,6.4236,0.0291,0.1728,6.7484,0.7428,0.1239
192,1355.539,6.8095,6.5639,0.0324,0.1932,6.8997,0.7421,0.1239
193,1362.495,6.9564,6.5836,0.0306,0.1651,6.8915,0.7427,0.1229
194,1369.448,6.9525,6.4546,0.0303,0.1812,6.7729,0.7436,0.1239
195,1376.295,6.8478,6.7871,0.0524,0.1628,7.1702,0.7439,0.1239
196,1383.678,7.3830,6.8470,0.0546,0.1712,7.2454,0.7423,0.1239
197,1391.023,7.3447,5.7994,0.0626,0.1548,6.2352,0.7423,0.1239
198,1397.429,6.4058,6.4320,0.0673,0.6345,7.3534,0.7461,0.1239
199,1405.070,7.6408,5.6982,0.0716,0.1956,6.1955,0.7425,0.1239
200,1411.388,6.3186,6.1661,0.0549,0.1493,6.5641,0.7503,0.1239
201,1418.085,6.6970,6.4130,0.0550,0.2500,6.9232,0.7412,0.1249
202,1425.101,7.0158,13.8946,0.0720,0.1790,14.3819,0.7434,0.1239
203,1439.598,14.4965,5.8640,0.0606,0.1624,6.2956,0.7476,0.1239
204,1446.204,6.6065,6.3499,0.0604,0.1544,6.7623,0.7419,0.1249
205,1453.314,7.1101,5.8635,0.0534,0.2502,6.3496,0.7415,0.1239
206,1459.749,6.4352,6.6150,0.0495,0.2070,7.0645,0.7428,0.1239
207,1467.336,7.5863,5.8710,0.0561,0.4528,6.5747,0.7420,0.1239
208,1474.028,6.6919,6.0487,0.0562,0.1555,6.4493,0.7413,0.1239
209,1480.572,6.5449,6.4619,0.0668,0.3662,7.0989,0.7432,0.1249
210,1488.000,7.4278,6.1319,0.0542,0.1628,6.6347,0.7525,0.1249
211,1494.948,6.9477,5.9798,0.0534,0.2387,6.4807,0.7445,0.1239
212,1501.535,6.5867,6.2882,0.0569,0.1640,6.7055,0.7468,0.1249
213,1508.401,6.8662,6.5005,0.0570,0.1634,6.9297,0.7468,0.1239
214,1515.450,7.0489,6.4473,0.1179,0.1882,6.9805,0.7496,0.1249
215,1522.530,7.0801,6.2803,0.0680,0.1694,6.7664,0.7480,0.1239
216,1529.391,6.8614,6.4783,0.0632,0.1746,6.9607,0.7462,0.1249
217,1536.468,7.0771,6.5176,0.0673,0.1849,7.0212,0.7492,0.1249
218,1543.655,7.1867,5.9069,0.0617,0.1656,6.3240,0.7456,0.1260
219,1550.084,6.4288,6.7015,0.0543,0.1665,7.1042,0.7505,0.1249
220,1557.367,7.2833,6.1049,0.0539,0.2136,6.5605,0.7500,0.1249
221,1564.038,6.6711,6.5515,0.0598,0.2698,7.0709,0.7478,0.1249
222,1571.233,7.1942,6.1116,0.0507,0.1936,6.6599,0.7498,0.1249
223,1578.002,6.7690,6.2720,0.0522,0.1859,6.7156,0.7471,0.1249
224,1584.844,6.8421,6.3351,0.0576,0.1549,6.7513,0.7471,0.1260
225,1591.744,6.9000,6.4814,0.0719,0.2182,7.0102,0.7476,0.1260
226,1598.923,7.1794,6.1637,0.0614,0.4202,6.8386,0.7476,0.1260
227,1605.936,7.0135,6.1982,0.0582,0.1662,6.6110,0.7492,0.1249
228,1612.912,6.9758,6.5298,0.0708,0.1780,6.9927,0.7505,0.1260
229,1620.017,7.1050,6.0008,0.0577,0.1874,6.4397,0.7502,0.1260
230,1626.575,6.5575,6.4077,0.0559,0.3281,6.9916,0.7477,0.1260
231,1633.697,7.1226,6.2113,0.0622,0.2568,6.7997,0.7498,0.1260
232,1640.874,7.1763,5.9578,0.0735,0.6035,6.9008,0.7489,0.1270
233,1648.011,7.1370,5.8227,0.1517,0.2087,6.4176,0.7190,0.1260
234,1654.553,6.5422,6.4001,0.0693,0.1881,6.9454,0.7448,0.1270
235,1661.597,7.0445,6.1724,0.0586,0.5788,7.0710,0.7439,0.1260
236,1668.789,7.1917,5.9332,0.0726,0.6041,6.8197,0.7447,0.1260
237,1675.708,6.9192,5.8816,0.0484,0.3037,6.4212,0.7486,0.1270
238,1682.232,6.5238,6.5228,0.0568,0.2351,7.0125,0.7470,0.1260
239,1689.344,7.1116,6.1107,0.0521,0.1522,6.5278,0.7465,0.1270
240,1696.037,6.6934,6.8151,0.0626,0.1736,7.2506,0.7445,0.1270
241,1703.384,7.3470,5.9772,0.0529,0.3310,6.5532,0.7460,0.1270
242,1710.387,7.0025,6.1887,0.0679,0.1705,6.6276,0.7462,0.1270
243,1717.271,6.8848,5.9929,0.0545,0.3793,6.6096,0.7436,0.1270
244,1724.104,6.8325,8.0807,0.0534,0.1601,8.4975,0.7485,0.1270
245,1732.710,8.6057,4.8679,0.0598,0.2899,5.4181,0.7475,0.1270
246,1738.325,5.6153,5.6739,0.0529,0.1593,6.0663,0.7451,0.1270
247,1744.607,6.2824,6.2690,0.0431,0.1418,6.6173,0.7436,0.1270
248,1751.298,6.6908,6.3851,0.0497,0.3156,6.9206,0.7431,0.1270
249,1758.328,7.0298,6.4228,0.0385,0.2508,6.8770,0.7441,0.1270
250,1765.312,6.9841,6.9833,0.0686,0.1631,7.4405,0.7459,0.1270
251,1772.851,7.5390,6.0610,0.0529,0.1588,6.4445,0.7457,0.1280
252,1779.399,6.5479,6.2825,0.0541,0.1447,6.6830,0.7429,0.1280
253,1786.191,6.7920,6.4151,0.0508,0.1412,6.8535,0.7437,0.1280
254,1793.144,6.9527,6.8035,0.0850,0.1747,7.3921,0.7403,0.1280
255,1800.672,7.5288,5.9538,0.0486,0.1479,6.3706,0.7404,0.1280
256,1807.130,6.4575,6.7704,0.0524,0.1721,7.2014,0.7434,0.1290
257,1814.569,7.4388,6.0871,0.0720,0.3090,6.8236,0.7416,0.1290
258,1821.646,7.0771,5.9541,0.0549,0.1460,6.3967,0.7406,0.1300
259,1828.155,6.5093,6.7328,0.0649,0.1860,7.1831,0.7425,0.1300
260,1835.449,7.2939,6.1359,0.0605,0.1631,6.6054,0.7381,0.1300
261,1842.160,6.7111,6.0465,0.0632,0.1541,6.5193,0.7403,0.1311
262,1848.786,6.6257,6.3364,0.0640,0.1734,6.8293,0.7394,0.1300
263,1855.980,7.1942,6.0693,0.0580,0.3700,6.7218,0.7382,0.1300
264,1862.831,6.8506,6.2110,0.0650,0.1682,6.6765,0.7408,0.1311
265,1869.612,6.7813,6.4749,0.0618,0.1851,6.9416,0.7114,0.1311
266,1876.674,7.0617,6.2441,0.0545,0.1737,6.6722,0.7428,0.1311
267,1883.456,6.7819,6.4110,0.0625,0.1908,6.9151,0.7134,0.1311
268,1890.484,7.0287,6.2761,0.0697,0.2171,6.8105,0.7132,0.1311
269,1897.565,7.0812,6.1409,0.0730,0.3267,6.7929,0.7165,0.1300
270,1904.519,6.9539,6.2311,0.0751,0.2127,6.7779,0.7140,0.1311
271,1911.507,6.9878,6.2745,0.0704,0.2068,6.8068,0.7148,0.1311
272,1918.479,6.9722,6.0243,0.0667,0.1837,6.5129,0.7143,0.1321
273,1925.103,6.6241,6.2461,0.0511,0.1549,6.6538,0.7121,0.1311
274,1931.993,6.8895,6.3025,0.0600,0.1819,6.7658,0.7397,0.1321
275,1938.859,6.8658,6.5424,0.0591,0.1742,6.9859,0.7112,0.1321
276,1945.976,7.1172,6.3967,0.0669,0.1985,6.8772,0.7178,0.1321
277,1952.962,6.9865,6.2066,0.0469,0.1436,6.5763,0.7402,0.1321
278,1959.621,6.6585,6.4719,0.0444,0.1360,6.8192,0.7166,0.1321
279,1966.620,6.9986,6.5240,0.0509,0.1445,6.9029,0.7154,0.1321
280,1973.618,6.9981,6.8313,0.0473,0.1424,7.1977,0.7151,0.1331
281,1980.909,7.2916,6.2722,0.0547,0.2762,6.7958,0.7122,0.1321
282,1987.824,6.9148,6.2119,0.0465,0.1401,6.5612,0.7118,0.1331
283,1994.478,6.6540,7.4708,0.0631,0.1802,7.9290,0.7190,0.1331
284,2002.690,8.2119,5.7852,0.0627,0.2810,6.3678,0.7160,0.1331
285,2009.187,6.4966,5.6948,0.0547,0.2996,6.2530,0.7127,0.1331
286,2015.602,6.4159,6.3280,0.0644,0.1908,6.7979,0.7194,0.1341
287,2022.523,6.9202,6.1840,0.0611,0.1606,6.6295,0.7213,0.1341
288,2029.251,6.7281,6.3338,0.0612,0.1622,6.7512,0.7156,0.1341
289,2036.112,6.8614,8.9139,0.0628,0.1864,9.3943,0.7156,0.1341
290,2045.831,9.7193,3.6790,0.0700,0.1770,4.1506,0.7176,0.1352
291,2050.332,4.5002,6.1605,0.0830,0.1947,6.6812,0.7164,0.1352
292,2057.140,6.8082,6.4424,0.0646,0.1814,6.9193,0.7184,0.1352
293,2064.175,7.0347,6.3955,0.0934,0.2089,7.0163,0.7156,0.1362
294,2071.340,7.1657,6.0314,0.0680,0.1710,6.5617,0.7283,0.1352
295,2078.017,6.6765,6.1684,0.0603,0.1534,6.5857,0.7279,0.1362
296,2084.735,6.7184,6.4931,0.0645,0.3484,7.1245,0.7326,0.1362
