timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 09:47:53.197, P0, 1740 MHz, 6101 MHz, 24 %, 72, 23.02 W, 0x0000000000000001
2026/09/24 09:47:53.460, P0, 1740 MHz, 6101 MHz, 29 %, 72, 23.32 W, 0x0000000000000001
2026/09/24 09:47:53.711, P0, 1740 MHz, 6101 MHz, 29 %, 72, 23.32 W, 0x0000000000000001
2026/09/24 09:47:53.973, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.47 W, 0x0000000000000001
2026/09/24 09:47:54.224, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.47 W, 0x0000000000000001
2026/09/24 09:47:54.475, P0, 1740 MHz, 6101 MHz, 25 %, 72, 23.21 W, 0x0000000000000001
2026/09/24 09:47:54.737, P0, 1740 MHz, 6101 MHz, 25 %, 72, 23.21 W, 0x0000000000000001
2026/09/24 09:47:55.001, P0, 1740 MHz, 6101 MHz, 25 %, 72, 22.99 W, 0x0000000000000001
2026/09/24 09:47:55.264, P0, 1740 MHz, 6101 MHz, 25 %, 72, 23.02 W, 0x0000000000000001
2026/09/24 09:47:55.530, P0, 1740 MHz, 6101 MHz, 25 %, 72, 23.02 W, 0x0000000000000001
2026/09/24 09:47:55.795, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.49 W, 0x0000000000000001
2026/09/24 09:47:56.060, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.49 W, 0x0000000000000001
2026/09/24 09:47:56.311, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.40 W, 0x0000000000000001
2026/09/24 09:47:56.575, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.40 W, 0x0000000000000001
2026/09/24 09:47:56.837, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.36 W, 0x0000000000000001
2026/09/24 09:47:57.088, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.36 W, 0x0000000000000001
2026/09/24 09:47:57.353, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.44 W, 0x0000000000000001
2026/09/24 09:47:57.617, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.44 W, 0x0000000000000001
2026/09/24 09:47:57.882, P0, 1740 MHz, 6101 MHz, 29 %, 72, 23.55 W, 0x0000000000000001
2026/09/24 09:47:58.144, P0, 1740 MHz, 6101 MHz, 29 %, 72, 23.55 W, 0x0000000000000001
2026/09/24 09:47:58.410, P0, 1740 MHz, 6101 MHz, 29 %, 72, 23.25 W, 0x0000000000000001
2026/09/24 09:47:58.662, P0, 1740 MHz, 6101 MHz, 29 %, 72, 23.25 W, 0x0000000000000001
2026/09/24 09:47:58.927, P0, 1740 MHz, 6101 MHz, 28 %, 73, 23.76 W, 0x0000000000000001
2026/09/24 09:47:59.192, P0, 1740 MHz, 6101 MHz, 28 %, 73, 23.76 W, 0x0000000000000001
2026/09/24 09:47:59.454, P0, 1740 MHz, 6101 MHz, 28 %, 73, 23.67 W, 0x0000000000000001
2026/09/24 09:47:59.718, P0, 1740 MHz, 6101 MHz, 28 %, 73, 23.67 W, 0x0000000000000001
2026/09/24 09:47:59.984, P0, 1740 MHz, 6101 MHz, 28 %, 72, 23.40 W, 0x0000000000000001
2026/09/24 09:48:00.249, P0, 1740 MHz, 6101 MHz, 26 %, 72, 23.21 W, 0x0000000000000001
2026/09/24 09:48:00.499, P0, 1740 MHz, 6101 MHz, 26 %, 72, 23.21 W, 0x0000000000000001
2026/09/24 09:48:00.764, P0, 1740 MHz, 6101 MHz, 27 %, 72, 23.22 W, 0x0000000000000001
2026/09/24 09:48:01.025, P0, 1740 MHz, 6101 MHz, 27 %, 72, 23.22 W, 0x0000000000000001
2026/09/24 09:48:01.290, P0, 1740 MHz, 6101 MHz, 27 %, 73, 22.98 W, 0x0000000000000001
2026/09/24 09:48:01.542, P0, 1740 MHz, 6101 MHz, 27 %, 73, 22.98 W, 0x0000000000000001
2026/09/24 09:48:01.806, P0, 1740 MHz, 6101 MHz, 25 %, 72, 22.94 W, 0x0000000000000001
2026/09/24 09:48:02.069, P0, 1740 MHz, 6101 MHz, 25 %, 72, 22.94 W, 0x0000000000000001
2026/09/24 09:48:02.320, P0, 1740 MHz, 6101 MHz, 27 %, 72, 23.12 W, 0x0000000000000001
2026/09/24 09:48:02.584, P0, 1740 MHz, 6101 MHz, 27 %, 72, 23.12 W, 0x0000000000000001
2026/09/24 09:48:02.849, P0, 1740 MHz, 6101 MHz, 30 %, 73, 23.82 W, 0x0000000000000001
2026/09/24 09:48:03.114, P0, 1740 MHz, 6101 MHz, 30 %, 73, 23.82 W, 0x0000000000000001
2026/09/24 09:48:03.376, P0, 1740 MHz, 6101 MHz, 27 %, 72, 23.26 W, 0x0000000000000001
2026/09/24 09:48:03.638, P0, 1740 MHz, 6101 MHz, 27 %, 72, 23.26 W, 0x0000000000000001
