timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 09:44:32.169, P0, 1740 MHz, 6101 MHz, 26 %, 74, 24.07 W, 0x0000000000000001
2026/09/24 09:44:32.433, P0, 1740 MHz, 6101 MHz, 26 %, 74, 24.07 W, 0x0000000000000001
2026/09/24 09:44:32.699, P0, 1740 MHz, 6101 MHz, 25 %, 74, 24.00 W, 0x0000000000000001
2026/09/24 09:44:32.963, P0, 1740 MHz, 6101 MHz, 25 %, 74, 24.00 W, 0x0000000000000001
2026/09/24 09:44:33.228, P0, 1740 MHz, 6101 MHz, 25 %, 74, 23.70 W, 0x0000000000000001
2026/09/24 09:44:33.493, P0, 1740 MHz, 6101 MHz, 25 %, 74, 23.70 W, 0x0000000000000001
2026/09/24 09:44:33.757, P0, 1740 MHz, 6101 MHz, 26 %, 74, 23.69 W, 0x0000000000000001
2026/09/24 09:44:34.022, P0, 1740 MHz, 6101 MHz, 26 %, 74, 23.69 W, 0x0000000000000001
2026/09/24 09:44:34.286, P0, 1740 MHz, 6101 MHz, 26 %, 74, 23.73 W, 0x0000000000000001
2026/09/24 09:44:34.551, P0, 1740 MHz, 6101 MHz, 26 %, 74, 23.73 W, 0x0000000000000001
2026/09/24 09:44:34.815, P0, 1740 MHz, 6101 MHz, 26 %, 74, 23.53 W, 0x0000000000000001
2026/09/24 09:44:35.078, P0, 1740 MHz, 6101 MHz, 26 %, 74, 23.53 W, 0x0000000000000001
2026/09/24 09:44:35.343, P0, 1740 MHz, 6101 MHz, 25 %, 74, 23.64 W, 0x0000000000000001
2026/09/24 09:44:35.606, P0, 1740 MHz, 6101 MHz, 25 %, 74, 23.64 W, 0x0000000000000001
2026/09/24 09:44:35.859, P0, 1740 MHz, 6101 MHz, 25 %, 74, 23.92 W, 0x0000000000000001
2026/09/24 09:44:36.109, P0, 1740 MHz, 6101 MHz, 25 %, 74, 23.92 W, 0x0000000000000001
2026/09/24 09:44:36.374, P0, 1740 MHz, 6101 MHz, 25 %, 74, 24.13 W, 0x0000000000000001
2026/09/24 09:44:36.639, P0, 1740 MHz, 6101 MHz, 26 %, 74, 23.84 W, 0x0000000000000001
2026/09/24 09:44:36.903, P0, 1740 MHz, 6101 MHz, 26 %, 74, 23.84 W, 0x0000000000000001
2026/09/24 09:44:37.168, P0, 1740 MHz, 6101 MHz, 24 %, 74, 23.49 W, 0x0000000000000001
2026/09/24 09:44:37.431, P0, 1740 MHz, 6101 MHz, 24 %, 74, 23.49 W, 0x0000000000000001
2026/09/24 09:44:37.695, P0, 1740 MHz, 6101 MHz, 25 %, 74, 23.66 W, 0x0000000000000001
