# start_unix_ms 1790235050084
frame,at_ms,interval_ms,pwait_ms,begin_ms,acquire_ms,present_ms,inside_ms,gpu_gbuffer_ms,gpu_view_ms
94,956.750,5.9244,5.3364,0.0463,0.0720,0.3869,6.0227,0.2722,0.1188
95,962.858,6.1086,7.8472,0.0442,0.1212,0.2863,8.4655,0.2730,0.1188
96,971.486,8.6279,6.2608,0.0434,0.0532,0.2341,6.7336,0.2726,0.1178
97,978.586,7.0993,5.1186,0.0371,0.0454,0.1203,5.4558,0.2774,0.1178
98,984.111,5.5251,7.6531,0.1305,0.1371,0.1774,8.4336,0.2724,0.1188
99,992.651,8.5400,5.0690,0.0444,0.0575,0.1487,5.5066,0.2718,0.1178
100,998.233,5.5818,6.5442,0.0385,0.0534,0.1316,6.8980,0.2689,0.1167
101,1005.431,7.1986,6.9029,0.0392,0.0530,0.1197,7.2380,0.2720,0.1178
102,1013.087,7.6555,6.2433,0.0486,0.0476,0.2566,6.7455,0.2730,0.1178
103,1020.204,7.1170,5.0965,0.0374,0.0530,0.1342,5.4713,0.2734,0.1178
104,1026.054,5.8506,6.2542,0.0428,0.0455,0.1819,6.6708,0.2719,0.1178
105,1040.520,14.4660,0.0035,0.0423,0.0520,0.2012,0.4591,0.2746,0.1198
106,1041.044,0.5237,5.2612,0.0461,0.0496,0.4513,6.0749,0.2734,0.1198
107,1047.327,6.2830,6.0216,0.0434,0.0504,0.1239,6.3819,0.2704,0.1188
108,1053.893,6.5658,5.5805,0.0699,0.0671,0.3873,6.3183,0.2737,0.1188
109,1060.453,6.5603,5.8717,0.0352,0.0424,0.5497,6.6311,0.2707,0.1178
110,1067.155,6.7022,7.2354,0.0463,0.0613,0.1828,7.6869,0.2717,0.1178
111,1075.153,7.9979,5.7390,0.0371,0.0648,0.1625,6.1665,0.2711,0.1178
112,1081.438,6.2853,6.4506,0.0409,0.0493,0.1238,6.8714,0.2724,0.1178
113,1088.509,7.0707,6.8748,0.0508,0.1031,0.7704,8.0278,0.2747,0.1188
114,1096.860,8.3511,6.1766,0.0459,0.1244,0.7276,7.3685,0.2696,0.1198
115,1105.173,8.3125,4.1921,0.0564,0.0492,0.1317,4.5929,0.2729,0.1178
116,1109.908,4.7355,6.3487,0.0441,0.0519,0.1266,6.7264,0.2744,0.1178
117,1117.508,7.5994,5.8074,0.0465,0.0467,0.1224,6.1878,0.2679,0.1178
118,1124.230,6.7223,6.0598,0.0441,0.0470,0.1258,6.4056,0.2691,0.1178
119,1130.829,6.5986,5.4691,0.0521,0.0718,0.1867,5.9505,0.2700,0.1178
120,1137.099,6.2705,7.2144,0.0404,0.0489,0.1164,7.5554,0.2693,0.1178
121,1145.017,7.9183,5.2339,0.0376,0.0450,0.1362,5.5850,0.2708,0.1188
