timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 09:01:12.774, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.32 W, 0x0000000000000001
2026/09/24 09:01:13.039, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.50 W, 0x0000000000000001
2026/09/24 09:01:13.305, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.50 W, 0x0000000000000001
2026/09/24 09:01:13.567, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.36 W, 0x0000000000000001
2026/09/24 09:01:13.832, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.36 W, 0x0000000000000001
2026/09/24 09:01:14.098, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.34 W, 0x0000000000000001
2026/09/24 09:01:14.360, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.34 W, 0x0000000000000001
2026/09/24 09:01:14.624, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.34 W, 0x0000000000000001
2026/09/24 09:01:14.890, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.34 W, 0x0000000000000001
2026/09/24 09:01:15.154, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.35 W, 0x0000000000000001
2026/09/24 09:01:15.419, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.35 W, 0x0000000000000001
2026/09/24 09:01:15.680, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.37 W, 0x0000000000000001
2026/09/24 09:01:15.945, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.37 W, 0x0000000000000001
2026/09/24 09:01:16.197, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.53 W, 0x0000000000000001
2026/09/24 09:01:16.449, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.53 W, 0x0000000000000001
2026/09/24 09:01:16.712, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.53 W, 0x0000000000000001
2026/09/24 09:01:16.962, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.53 W, 0x0000000000000001
2026/09/24 09:01:17.228, P0, 1740 MHz, 6101 MHz, 22 %, 66, 21.33 W, 0x0000000000000001
2026/09/24 09:01:17.478, P0, 1740 MHz, 6101 MHz, 22 %, 66, 21.33 W, 0x0000000000000001
2026/09/24 09:01:17.742, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.41 W, 0x0000000000000001
2026/09/24 09:01:18.007, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.41 W, 0x0000000000000001
2026/09/24 09:01:18.270, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.41 W, 0x0000000000000001
2026/09/24 09:01:18.532, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.41 W, 0x0000000000000001
2026/09/24 09:01:18.795, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.36 W, 0x0000000000000001
2026/09/24 09:01:19.058, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.57 W, 0x0000000000000001
2026/09/24 09:01:19.320, P0, 1740 MHz, 6101 MHz, 24 %, 66, 21.57 W, 0x0000000000000001
